dt,sensor,lux,con,spl
2016-06-30 16:00:00,sensor_4,10005.625,2453.54,74.6904291739
2016-06-30 20:00:00,sensor_0,104.375,2713.84,66.0411998266
2016-06-30 20:00:00,sensor_2,81.0,1708.97625,75.0845679523
2016-06-30 20:00:00,sensor_3,73.625,1889.39,78.0628195614
2016-06-30 20:00:00,sensor_4,248.0,2605.68,71.7125803671
2016-07-01 00:00:00,sensor_0,12718.75,2884.055,74.3197621077
2016-07-01 00:00:00,sensor_2,0.0,1715.53625,70.6040161587
2016-07-01 00:00:00,sensor_3,0.0,2151.45875,74.7682343409
2016-07-01 00:00:00,sensor_4,0.0,2243.90875,69.9802485721
2016-07-01 04:00:00,sensor_0,44847.625,3095.6,79.0449210095
2016-07-01 04:00:00,sensor_2,2236.25,2058.23125,74.0426365262
2016-07-01 04:00:00,sensor_3,901.75,1867.82625,77.5689041439
2016-07-01 04:00:00,sensor_4,5174.75,2137.3425,71.1218157981
2016-07-01 08:00:00,sensor_0,30495.625,3168.89,84.661453201
2016-07-01 08:00:00,sensor_2,19660.625,2575.7025,75.4233625734
2016-07-01 08:00:00,sensor_3,5489.0,2665.255,79.029899065
2016-07-01 08:00:00,sensor_4,41880.625,3313.1375,73.9489127519
2016-07-01 12:00:00,sensor_0,6932.5,2636.56875,77.2273600447
2016-07-01 12:00:00,sensor_2,14932.25,2739.82375,77.4842575492
2016-07-01 12:00:00,sensor_3,8449.125,2559.3325,80.1698977792
2016-07-01 12:00:00,sensor_4,40735.0,2966.8025,78.398634936
2016-07-01 16:00:00,sensor_0,0.0,2126.215,77.1521570672
2016-07-01 16:00:00,sensor_2,4450.0,2657.8925,76.3266673206
2016-07-01 16:00:00,sensor_3,2862.125,2398.10125,79.2116447358
2016-07-01 16:00:00,sensor_4,13103.875,3072.615,78.3944366384
2016-07-01 20:00:00,sensor_0,94.75,2405.83875,76.1949447543
2016-07-01 20:00:00,sensor_2,63.125,1881.91375,74.8590226435
2016-07-01 20:00:00,sensor_3,36.25,1536.96125,79.7252123519
2016-07-01 20:00:00,sensor_4,170.25,2158.7975,75.715877451
2016-07-02 00:00:00,sensor_0,12758.125,2271.68125,82.7866538766
2016-07-02 00:00:00,sensor_2,0.0,1996.84875,72.8642452895
2016-07-02 00:00:00,sensor_3,0.0,1767.0725,76.2210384257
2016-07-02 00:00:00,sensor_4,0.0,2411.705,71.8475524282
2016-07-02 04:00:00,sensor_0,43631.375,2269.195,85.2458572891
2016-07-02 04:00:00,sensor_2,1942.625,2137.6525,71.3702337202
2016-07-02 04:00:00,sensor_3,497.75,1671.9975,71.1072210005
2016-07-02 04:00:00,sensor_4,2357.625,1999.0625,82.2500733256
2016-07-02 08:00:00,sensor_0,40940.125,2199.9925,85.904411336
2016-07-02 08:00:00,sensor_2,16270.75,1961.58125,75.2453191434
2016-07-02 08:00:00,sensor_3,3040.5,1878.82375,76.973602682
2016-07-02 08:00:00,sensor_4,29966.875,1687.49625,83.5010694191
2016-07-02 12:00:00,sensor_0,3535.125,2597.7,77.7363024889
2016-07-02 12:00:00,sensor_2,9203.625,2358.03125,77.2430410067
2016-07-02 12:00:00,sensor_3,6089.25,2000.4025,77.4287580632
2016-07-02 12:00:00,sensor_4,36907.125,1519.1675,83.1293383576
2016-07-02 16:00:00,sensor_0,0.0,1569.4825,70.2582671329
2016-07-02 16:00:00,sensor_2,4238.375,2021.965,74.7507513907
2016-07-02 16:00:00,sensor_3,3606.5,2202.87125,80.9835008841
2016-07-02 16:00:00,sensor_4,13139.5,2000.93875,79.8422872033
2016-07-02 20:00:00,sensor_0,106.0,1647.84875,60.5471786877
2016-07-02 20:00:00,sensor_2,80.75,1485.0175,73.7169871167
2016-07-02 20:00:00,sensor_3,64.625,2176.96125,77.4960087677
2016-07-02 20:00:00,sensor_4,248.5,2037.005,71.5681005682
2016-07-03 00:00:00,sensor_0,14573.5,2413.36875,66.567778601
2016-07-03 00:00:00,sensor_2,0.0,1585.71125,69.6214186503
2016-07-03 00:00:00,sensor_3,0.0,1443.1675,73.1274596876
2016-07-03 00:00:00,sensor_4,0.0,2040.9325,68.453323448
2016-07-03 04:00:00,sensor_0,41364.375,1953.63625,73.3228346548
2016-07-03 04:00:00,sensor_2,2268.125,1701.33,71.1289366304
2016-07-03 04:00:00,sensor_3,707.625,1507.59375,72.3750864108
2016-07-03 04:00:00,sensor_4,4228.75,2171.33125,68.2137010647
2016-07-03 08:00:00,sensor_0,26405.625,2372.84125,80.6991223227
2016-07-03 08:00:00,sensor_2,12047.75,1725.30375,74.2115754925
2016-07-03 08:00:00,sensor_3,4445.0,1554.5025,74.569680208
2016-07-03 08:00:00,sensor_4,40030.5,2046.46,70.6505377269
2016-07-03 12:00:00,sensor_0,5228.25,2606.55125,80.5471786877
2016-07-03 12:00:00,sensor_2,11084.125,1935.88,76.929338857
2016-07-03 12:00:00,sensor_3,7052.375,1367.24625,75.5492071294
2016-07-03 12:00:00,sensor_4,38112.375,2060.605,72.3952394912
2016-07-03 16:00:00,sensor_0,0.0,2241.1675,72.8401610604
2016-07-03 16:00:00,sensor_2,4688.625,1683.895,74.2009131944
2016-07-03 16:00:00,sensor_3,3546.375,1688.99125,73.1501716319
2016-07-03 16:00:00,sensor_4,14415.125,2085.59625,73.5052962336
2016-07-03 20:00:00,sensor_0,100.875,2005.8275,60.5471786877
2016-07-03 20:00:00,sensor_2,73.5,1628.815,72.6692380879
2016-07-03 20:00:00,sensor_3,52.25,1581.95625,76.0758266995
2016-07-03 20:00:00,sensor_4,216.0,1956.915,73.0235474954
2016-07-04 00:00:00,sensor_0,10879.25,1711.7475,69.0024505357
2016-07-04 00:00:00,sensor_2,0.0,1877.32875,69.1683423793
2016-07-04 00:00:00,sensor_3,0.0,1507.95875,72.7266410353
